Model,Age,Job,Loan,Contact,PurchaseDate,PurchasePrice,Color,Accessories,MarketingChannel,PaymentMethod,Gender
Impulse,54,Student,TRUE,(927)-842-2944,10-08-2022,77906,Blue,Handlebar Grips,Dealership,Financing,Female
Xtreme,58,Designer,FALSE,(610)-247-2454,07-02-2017,58404,Red,None,Dealership,Cash,Male
Destini i3s,46,Manager,TRUE,(625)-369-7852,28-01-2018,56407,Blue,Windshield,Event,Credit,Male
Destini i3s,59,Doctor,TRUE,(290)-572-4760,11-09-2019,61671,Red,Top Box,Event,Cash,Male
Maestro,53,Manager,FALSE,(593)-918-1355,05-06-2021,90762,Blue,Top Box,Event,Financing,Female
Duet,42,Student,FALSE,(415)-213-1138,21-06-2022,51079,Black,None,Event,Cash,Male
Xpulse 200,42,Doctor,TRUE,(963)-509-3305,25-09-2017,75418,Blue,None,Dealership,Credit,Male
HF Deluxe i3s,51,Engineer,FALSE,(849)-910-6866,13-07-2015,81840,Red,Top Box,Event,Financing,Other
Glamour Xtec,29,Designer,FALSE,(449)-957-7563,02-12-2019,68653,Black,Windshield,Event,Financing,Male
Glamour Xtec 125,27,Teacher,TRUE,(932)-821-2313,16-01-2016,83761,Black,Top Box,Online,Credit,Female
Pleasure Plus Platinum i3s,48,Designer,FALSE,(314)-996-2830,04-12-2021,69408,White,None,Dealership,Cash,Other
Maestro Edge,24,Student,FALSE,(733)-123-2476,16-06-2023,87045,White,Windshield,Dealership,Credit,Female
Glamour Blaze 125,41,Doctor,TRUE,(795)-414-5256,15-11-2018,70081,Black,None,Event,Cash,Female
Maestro Edge 125 Stealth,50,Manager,TRUE,(780)-232-3852,13-05-2017,68310,Red,None,Event,Credit,Female
Destini i3s,23,Designer,TRUE,(872)-121-8271,02-04-2021,92736,Red,Windshield,Dealership,Financing,Female
Xpulse,34,Manager,TRUE,(178)-235-6279,10-01-2017,56975,Blue,Handlebar Grips,Online,Financing,Female
Xpulse,33,Manager,FALSE,(901)-623-5313,16-05-2018,91238,Black,Top Box,Online,Credit,Female
Achiever,48,Engineer,TRUE,(519)-565-3156,23-10-2021,68964,Red,Windshield,Dealership,Credit,Male
Achiever,33,Student,TRUE,(553)-179-6225,20-06-2023,80936,Blue,None,Online,Cash,Male
Passion Pro,30,Designer,TRUE,(142)-685-4824,04-10-2017,75733,Black,Top Box,Event,Financing,Other
HF Dawn,50,Designer,TRUE,(859)-923-1746,14-05-2015,92014,Black,None,Dealership,Credit,Female
Glamour i3s,34,Doctor,TRUE,(611)-141-9506,21-06-2020,59954,White,None,Event,Credit,Other
Pleasure,30,Engineer,FALSE,(723)-639-6845,16-10-2016,88031,White,None,Dealership,Cash,Female
HF Deluxe i3s,55,Manager,TRUE,(161)-650-4573,28-01-2023,62375,Blue,None,Event,Cash,Male
Glamour Blaze 125,44,Designer,TRUE,(222)-455-9528,27-05-2022,71945,Black,Windshield,Dealership,Cash,Male
Glamour SV,56,Student,FALSE,(291)-278-2679,07-06-2022,55912,Blue,Handlebar Grips,Online,Credit,Other
Pleasure Plus Platinum i3s,23,Teacher,FALSE,(336)-671-2217,14-06-2023,54659,Black,Handlebar Grips,Online,Financing,Male
Impulse,34,Manager,FALSE,(626)-257-3575,08-01-2020,58143,White,Windshield,Event,Cash,Male
Maestro Edge,58,Manager,TRUE,(272)-167-5528,14-05-2022,57878,White,Handlebar Grips,Event,Credit,Female
Duet,36,Teacher,FALSE,(810)-381-4181,27-08-2019,74003,Black,Handlebar Grips,Online,Financing,Male
Passion Pro 110,40,Student,FALSE,(585)-838-6462,21-11-2020,78850,Red,Windshield,Online,Financing,Female
Passion Pro 125,51,Engineer,FALSE,(327)-594-7825,04-09-2022,82629,Black,Top Box,Online,Credit,Other
Maestro Edge 125,41,Manager,FALSE,(486)-590-4778,11-07-2022,68125,Black,Handlebar Grips,Event,Financing,Other
Xpulse 200T,39,Manager,FALSE,(393)-379-7588,06-11-2017,86994,White,None,Event,Credit,Male
Glamour Blaze 125,58,Engineer,FALSE,(138)-792-2852,17-03-2015,96858,Blue,None,Dealership,Cash,Female
Karizma,26,Student,TRUE,(952)-658-3519,14-08-2017,73710,White,Handlebar Grips,Online,Cash,Male
Passion Pro 110,27,Student,TRUE,(552)-251-7765,18-10-2017,71272,Blue,Windshield,Online,Financing,Other
Impulse,40,Designer,TRUE,(181)-336-9532,24-08-2023,77805,Black,Handlebar Grips,Event,Credit,Other
Pleasure Plus,34,Manager,TRUE,(792)-697-3723,03-11-2023,88579,Blue,Handlebar Grips,Event,Financing,Female
Glamour Xtec,54,Engineer,TRUE,(460)-638-5445,25-04-2017,91268,Red,Top Box,Event,Financing,Female
Maestro,36,Teacher,TRUE,(138)-394-1831,19-10-2018,65063,Blue,None,Online,Financing,Male
Maestro Edge 110,36,Manager,FALSE,(378)-604-4257,26-11-2015,73804,Black,Windshield,Dealership,Cash,Female
Glamour Blaze,39,Student,FALSE,(406)-111-9344,25-03-2020,79610,Blue,Top Box,Dealership,Credit,Male
Ignitor,42,Teacher,FALSE,(227)-477-9321,27-11-2023,77446,White,Handlebar Grips,Event,Credit,Other
Maestro Edge 125,55,Student,TRUE,(244)-695-4364,11-11-2016,60073,Red,Top Box,Event,Financing,Other
